[ 2025-10-08 12:00:19,070 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-08 12:00:43,470 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-10-08 12:00:43,471 ] 64 root - INFO - Exited the split_data_as_train_test method of Data Ingestion class
[ 2025-10-08 12:00:43,471 ] 69 root - INFO - Exporting train and test file path.
[ 2025-10-08 12:00:43,582 ] 74 root - INFO - Exported train and test file path.
[ 2025-10-08 12:00:43,583 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-08 12:00:43,642 ] 26 root - INFO - Initiate the data validation
[ 2025-10-08 12:00:43,700 ] 31 root - INFO - Required number of columns:114
[ 2025-10-08 12:00:43,700 ] 32 root - INFO - Data frame has columns:112
[ 2025-10-08 12:00:43,700 ] 31 root - INFO - Required number of columns:114
[ 2025-10-08 12:00:43,700 ] 32 root - INFO - Data frame has columns:112
[ 2025-10-08 12:00:44,035 ] 28 root - INFO - data validation Completed
[ 2025-10-08 12:00:44,036 ] 31 root - INFO - data transformation started
[ 2025-10-08 12:00:44,036 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-08 12:00:44,036 ] 65 root - INFO - Starting data transformation
[ 2025-10-08 12:00:44,101 ] 52 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-10-08 12:00:44,101 ] 55 root - INFO - Initialise KNNImputer with: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-08 12:00:44,136 ] 55 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-08 12:00:44,140 ] 59 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-08 12:00:44,143 ] 35 root - INFO - Data Transformation Completed
[ 2025-10-08 12:00:44,143 ] 37 root - INFO - Model Trainer Started
